id,season,city,date,match_type,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs,super_over,method,umpire1,umpire2,summary
1359528.0,2023.0,Mumbai,09/05/2023,League,SA Yadav,"Wankhede Stadium, Mumbai",Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,6.0,200.0,20.0,N,,HAS Khalid,VK Sharma,"Season: 2023.0, City: Mumbai, Date: 09/05/2023, Match Type: League, Player of the Match: SA Yadav, Venue: Wankhede Stadium, Mumbai, Team1: Royal Challengers Bangalore, Team2: Mumbai Indians, Toss Winner: Mumbai Indians, Toss Decision: field, Winner: Mumbai Indians, Result: wickets by 6.0 runs/wickets, Super Over: N, Umpires: HAS Khalid and VK Sharma."
1359529.0,2023.0,Chennai,10/05/2023,League,RA Jadeja,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Chennai Super Kings,runs,27.0,168.0,20.0,N,,CB Gaffaney,NA Patwardhan,"Season: 2023.0, City: Chennai, Date: 10/05/2023, Match Type: League, Player of the Match: RA Jadeja, Venue: MA Chidambaram Stadium, Chepauk, Chennai, Team1: Chennai Super Kings, Team2: Delhi Capitals, Toss Winner: Chennai Super Kings, Toss Decision: bat, Winner: Chennai Super Kings, Result: runs by 27.0 runs/wickets, Super Over: N, Umpires: CB Gaffaney and NA Patwardhan."
1359530.0,2023.0,Kolkata,11/05/2023,League,YBK Jaiswal,"Eden Gardens, Kolkata",Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,9.0,150.0,20.0,N,,RJ Tucker,MV Saidharshan Kumar,"Season: 2023.0, City: Kolkata, Date: 11/05/2023, Match Type: League, Player of the Match: YBK Jaiswal, Venue: Eden Gardens, Kolkata, Team1: Kolkata Knight Riders, Team2: Rajasthan Royals, Toss Winner: Rajasthan Royals, Toss Decision: field, Winner: Rajasthan Royals, Result: wickets by 9.0 runs/wickets, Super Over: N, Umpires: RJ Tucker and MV Saidharshan Kumar."
1359531.0,2023.0,Mumbai,12/05/2023,League,SA Yadav,"Wankhede Stadium, Mumbai",Mumbai Indians,Gujarat Titans,Gujarat Titans,field,Mumbai Indians,runs,27.0,219.0,20.0,N,,Nitin Menon,Tapan Sharma,"Season: 2023.0, City: Mumbai, Date: 12/05/2023, Match Type: League, Player of the Match: SA Yadav, Venue: Wankhede Stadium, Mumbai, Team1: Mumbai Indians, Team2: Gujarat Titans, Toss Winner: Gujarat Titans, Toss Decision: field, Winner: Mumbai Indians, Result: runs by 27.0 runs/wickets, Super Over: N, Umpires: Nitin Menon and Tapan Sharma."
1359532.0,2023.0,Hyderabad,13/05/2023,League,PN Mankad,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,bat,Lucknow Super Giants,wickets,7.0,183.0,20.0,N,,A Totre,J Madanagopal,"Season: 2023.0, City: Hyderabad, Date: 13/05/2023, Match Type: League, Player of the Match: PN Mankad, Venue: Rajiv Gandhi International Stadium, Uppal, Hyderabad, Team1: Sunrisers Hyderabad, Team2: Lucknow Super Giants, Toss Winner: Sunrisers Hyderabad, Toss Decision: bat, Winner: Lucknow Super Giants, Result: wickets by 7.0 runs/wickets, Super Over: N, Umpires: A Totre and J Madanagopal."
1359533.0,2023.0,Delhi,13/05/2023,League,P Simran Singh,"Arun Jaitley Stadium, Delhi",Punjab Kings,Delhi Capitals,Delhi Capitals,field,Punjab Kings,runs,31.0,168.0,20.0,N,,CB Gaffaney,NA Patwardhan,"Season: 2023.0, City: Delhi, Date: 13/05/2023, Match Type: League, Player of the Match: P Simran Singh, Venue: Arun Jaitley Stadium, Delhi, Team1: Punjab Kings, Team2: Delhi Capitals, Toss Winner: Delhi Capitals, Toss Decision: field, Winner: Punjab Kings, Result: runs by 31.0 runs/wickets, Super Over: N, Umpires: CB Gaffaney and NA Patwardhan."
1359534.0,2023.0,Jaipur,14/05/2023,League,WD Parnell,"Sawai Mansingh Stadium, Jaipur",Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,runs,112.0,172.0,20.0,N,,KN Ananthapadmanabhan,Navdeep Singh,"Season: 2023.0, City: Jaipur, Date: 14/05/2023, Match Type: League, Player of the Match: WD Parnell, Venue: Sawai Mansingh Stadium, Jaipur, Team1: Royal Challengers Bangalore, Team2: Rajasthan Royals, Toss Winner: Royal Challengers Bangalore, Toss Decision: bat, Winner: Royal Challengers Bangalore, Result: runs by 112.0 runs/wickets, Super Over: N, Umpires: KN Ananthapadmanabhan and Navdeep Singh."
1359535.0,2023.0,Chennai,14/05/2023,League,RK Singh,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Kolkata Knight Riders,wickets,6.0,145.0,20.0,N,,Tapan Sharma,Vinod Seshan,"Season: 2023.0, City: Chennai, Date: 14/05/2023, Match Type: League, Player of the Match: RK Singh, Venue: MA Chidambaram Stadium, Chepauk, Chennai, Team1: Chennai Super Kings, Team2: Kolkata Knight Riders, Toss Winner: Chennai Super Kings, Toss Decision: bat, Winner: Kolkata Knight Riders, Result: wickets by 6.0 runs/wickets, Super Over: N, Umpires: Tapan Sharma and Vinod Seshan."
1359536.0,2023.0,Ahmedabad,15/05/2023,League,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Gujarat Titans,runs,34.0,189.0,20.0,N,,J Madanagopal,UV Gandhe,"Season: 2023.0, City: Ahmedabad, Date: 15/05/2023, Match Type: League, Player of the Match: Shubman Gill, Venue: Narendra Modi Stadium, Ahmedabad, Team1: Gujarat Titans, Team2: Sunrisers Hyderabad, Toss Winner: Sunrisers Hyderabad, Toss Decision: field, Winner: Gujarat Titans, Result: runs by 34.0 runs/wickets, Super Over: N, Umpires: J Madanagopal and UV Gandhe."
1359537.0,2023.0,Lucknow,16/05/2023,League,MP Stoinis,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Mumbai Indians,Mumbai Indians,field,Lucknow Super Giants,runs,5.0,178.0,20.0,N,,AK Chaudhary,A Nand Kishore,"Season: 2023.0, City: Lucknow, Date: 16/05/2023, Match Type: League, Player of the Match: MP Stoinis, Venue: Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow, Team1: Lucknow Super Giants, Team2: Mumbai Indians, Toss Winner: Mumbai Indians, Toss Decision: field, Winner: Lucknow Super Giants, Result: runs by 5.0 runs/wickets, Super Over: N, Umpires: AK Chaudhary and A Nand Kishore."
