id,season,city,date,match_type,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs,super_over,method,umpire1,umpire2,summary
1422119,2024,Chennai,22/03/2024,League,Mustafizur Rahman,"MA Chidambaram Stadium, Chepauk, Chennai",Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,bat,Chennai Super Kings,wickets,6,174,20,N,,HAS Khalid,VK Sharma,"Season: 2024, City: Chennai, Date: 22/03/2024, Match Type: League, Player of the Match: Mustafizur Rahman, Venue: MA Chidambaram Stadium, Chepauk, Chennai, Team1: Royal Challengers Bengaluru, Team2: Chennai Super Kings, Toss Winner: Royal Challengers Bengaluru, Toss Decision: bat, Winner: Chennai Super Kings, Result: wickets by 6 runs/wickets, Super Over: N, Umpires: HAS Khalid and VK Sharma."
1422120,2024,Mohali,23/03/2024,League,SM Curran,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Delhi Capitals,Punjab Kings,Punjab Kings,field,Punjab Kings,wickets,4,175,20,N,,J Madanagopal,NA Patwardhan,"Season: 2024, City: Mohali, Date: 23/03/2024, Match Type: League, Player of the Match: SM Curran, Venue: Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur, Team1: Delhi Capitals, Team2: Punjab Kings, Toss Winner: Punjab Kings, Toss Decision: field, Winner: Punjab Kings, Result: wickets by 4 runs/wickets, Super Over: N, Umpires: J Madanagopal and NA Patwardhan."
1422121,2024,Kolkata,23/03/2024,League,AD Russell,"Eden Gardens, Kolkata",Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,runs,4,209,20,N,,R Pandit,YC Barde,"Season: 2024, City: Kolkata, Date: 23/03/2024, Match Type: League, Player of the Match: AD Russell, Venue: Eden Gardens, Kolkata, Team1: Kolkata Knight Riders, Team2: Sunrisers Hyderabad, Toss Winner: Sunrisers Hyderabad, Toss Decision: field, Winner: Kolkata Knight Riders, Result: runs by 4 runs/wickets, Super Over: N, Umpires: R Pandit and YC Barde."
1422122,2024,Jaipur,24/03/2024,League,SV Samson,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,bat,Rajasthan Royals,runs,20,194,20,N,,A Totre,HDPK Dharmasena,"Season: 2024, City: Jaipur, Date: 24/03/2024, Match Type: League, Player of the Match: SV Samson, Venue: Sawai Mansingh Stadium, Jaipur, Team1: Rajasthan Royals, Team2: Lucknow Super Giants, Toss Winner: Rajasthan Royals, Toss Decision: bat, Winner: Rajasthan Royals, Result: runs by 20 runs/wickets, Super Over: N, Umpires: A Totre and HDPK Dharmasena."
1422123,2024,Ahmedabad,24/03/2024,League,B Sai Sudharsan,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Mumbai Indians,Mumbai Indians,field,Gujarat Titans,runs,6,169,20,N,,VA Kulkarni,VK Sharma,"Season: 2024, City: Ahmedabad, Date: 24/03/2024, Match Type: League, Player of the Match: B Sai Sudharsan, Venue: Narendra Modi Stadium, Ahmedabad, Team1: Gujarat Titans, Team2: Mumbai Indians, Toss Winner: Mumbai Indians, Toss Decision: field, Winner: Gujarat Titans, Result: runs by 6 runs/wickets, Super Over: N, Umpires: VA Kulkarni and VK Sharma."
1422124,2024,Bengaluru,25/03/2024,League,V Kohli,"M Chinnaswamy Stadium, Bengaluru",Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,4,177,20,N,,AK Chaudhary,MV Saidharshan Kumar,"Season: 2024, City: Bengaluru, Date: 25/03/2024, Match Type: League, Player of the Match: V Kohli, Venue: M Chinnaswamy Stadium, Bengaluru, Team1: Punjab Kings, Team2: Royal Challengers Bengaluru, Toss Winner: Royal Challengers Bengaluru, Toss Decision: field, Winner: Royal Challengers Bengaluru, Result: wickets by 4 runs/wickets, Super Over: N, Umpires: AK Chaudhary and MV Saidharshan Kumar."
1422125,2024,Chennai,26/03/2024,League,S Dube,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,Chennai Super Kings,runs,63,207,20,N,,AG Wharf,Tapan Sharma,"Season: 2024, City: Chennai, Date: 26/03/2024, Match Type: League, Player of the Match: S Dube, Venue: MA Chidambaram Stadium, Chepauk, Chennai, Team1: Chennai Super Kings, Team2: Gujarat Titans, Toss Winner: Gujarat Titans, Toss Decision: field, Winner: Chennai Super Kings, Result: runs by 63 runs/wickets, Super Over: N, Umpires: AG Wharf and Tapan Sharma."
1422126,2024,Hyderabad,27/03/2024,League,Abhishek Sharma,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Sunrisers Hyderabad,runs,31,278,20,N,,KN Ananthapadmanabhan,UV Gandhe,"Season: 2024, City: Hyderabad, Date: 27/03/2024, Match Type: League, Player of the Match: Abhishek Sharma, Venue: Rajiv Gandhi International Stadium, Uppal, Hyderabad, Team1: Sunrisers Hyderabad, Team2: Mumbai Indians, Toss Winner: Mumbai Indians, Toss Decision: field, Winner: Sunrisers Hyderabad, Result: runs by 31 runs/wickets, Super Over: N, Umpires: KN Ananthapadmanabhan and UV Gandhe."
1422127,2024,Jaipur,28/03/2024,League,R Parag,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Delhi Capitals,Delhi Capitals,field,Rajasthan Royals,runs,12,186,20,N,,A Nand Kishore,Nitin Menon,"Season: 2024, City: Jaipur, Date: 28/03/2024, Match Type: League, Player of the Match: R Parag, Venue: Sawai Mansingh Stadium, Jaipur, Team1: Rajasthan Royals, Team2: Delhi Capitals, Toss Winner: Delhi Capitals, Toss Decision: field, Winner: Rajasthan Royals, Result: runs by 12 runs/wickets, Super Over: N, Umpires: A Nand Kishore and Nitin Menon."
1422128,2024,Bengaluru,29/03/2024,League,SP Narine,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,7,183,20,N,,AK Chaudhary,R Pandit,"Season: 2024, City: Bengaluru, Date: 29/03/2024, Match Type: League, Player of the Match: SP Narine, Venue: M Chinnaswamy Stadium, Bengaluru, Team1: Royal Challengers Bengaluru, Team2: Kolkata Knight Riders, Toss Winner: Kolkata Knight Riders, Toss Decision: field, Winner: Kolkata Knight Riders, Result: wickets by 7 runs/wickets, Super Over: N, Umpires: AK Chaudhary and R Pandit."
1422129,2024,Lucknow,30/03/2024,League,MP Yadav,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,bat,Lucknow Super Giants,runs,21,200,20,N,,J Madanagopal,Navdeep Singh,"Season: 2024, City: Lucknow, Date: 30/03/2024, Match Type: League, Player of the Match: MP Yadav, Venue: Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow, Team1: Lucknow Super Giants, Team2: Punjab Kings, Toss Winner: Lucknow Super Giants, Toss Decision: bat, Winner: Lucknow Super Giants, Result: runs by 21 runs/wickets, Super Over: N, Umpires: J Madanagopal and Navdeep Singh."
1422130,2024,Ahmedabad,31/03/2024,League,MM Sharma,"Narendra Modi Stadium, Ahmedabad",Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,bat,Gujarat Titans,wickets,7,163,20,N,,HAS Khalid,VK Sharma,"Season: 2024, City: Ahmedabad, Date: 31/03/2024, Match Type: League, Player of the Match: MM Sharma, Venue: Narendra Modi Stadium, Ahmedabad, Team1: Sunrisers Hyderabad, Team2: Gujarat Titans, Toss Winner: Sunrisers Hyderabad, Toss Decision: bat, Winner: Gujarat Titans, Result: wickets by 7 runs/wickets, Super Over: N, Umpires: HAS Khalid and VK Sharma."
1422131,2024,Visakhapatnam,31/03/2024,League,KK Ahmed,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,Delhi Capitals,runs,20,192,20,N,,HDPK Dharmasena,Vinod Seshan,"Season: 2024, City: Visakhapatnam, Date: 31/03/2024, Match Type: League, Player of the Match: KK Ahmed, Venue: Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam, Team1: Delhi Capitals, Team2: Chennai Super Kings, Toss Winner: Delhi Capitals, Toss Decision: bat, Winner: Delhi Capitals, Result: runs by 20 runs/wickets, Super Over: N, Umpires: HDPK Dharmasena and Vinod Seshan."
1422132,2024,Mumbai,01/04/2024,League,TA Boult,"Wankhede Stadium, Mumbai",Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,6,126,20,N,,MV Saidharshan Kumar,YC Barde,"Season: 2024, City: Mumbai, Date: 01/04/2024, Match Type: League, Player of the Match: TA Boult, Venue: Wankhede Stadium, Mumbai, Team1: Mumbai Indians, Team2: Rajasthan Royals, Toss Winner: Rajasthan Royals, Toss Decision: field, Winner: Rajasthan Royals, Result: wickets by 6 runs/wickets, Super Over: N, Umpires: MV Saidharshan Kumar and YC Barde."
