id,season,city,date,match_type,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs,super_over,method,umpire1,umpire2,summary
1254058.0,2021.0,Chennai,09/04/2021,League,HV Patel,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,2.0,160.0,20.0,N,,KN Ananthapadmanabhan,Nitin Menon,"Season: 2021.0, City: Chennai, Date: 09/04/2021, Match Type: League, Player of the Match: HV Patel, Venue: MA Chidambaram Stadium, Chepauk, Chennai, Team1: Mumbai Indians, Team2: Royal Challengers Bangalore, Toss Winner: Royal Challengers Bangalore, Toss Decision: field, Winner: Royal Challengers Bangalore, Result: wickets by 2.0 runs/wickets, Super Over: N, Umpires: KN Ananthapadmanabhan and Nitin Menon."
1254059.0,2021.0,Mumbai,10/04/2021,League,S Dhawan,"Wankhede Stadium, Mumbai",Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,7.0,189.0,20.0,N,,AK Chaudhary,VK Sharma,"Season: 2021.0, City: Mumbai, Date: 10/04/2021, Match Type: League, Player of the Match: S Dhawan, Venue: Wankhede Stadium, Mumbai, Team1: Chennai Super Kings, Team2: Delhi Capitals, Toss Winner: Delhi Capitals, Toss Decision: field, Winner: Delhi Capitals, Result: wickets by 7.0 runs/wickets, Super Over: N, Umpires: AK Chaudhary and VK Sharma."
1254060.0,2021.0,Chennai,11/04/2021,League,N Rana,"MA Chidambaram Stadium, Chepauk, Chennai",Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,runs,10.0,188.0,20.0,N,,KN Ananthapadmanabhan,Nitin Menon,"Season: 2021.0, City: Chennai, Date: 11/04/2021, Match Type: League, Player of the Match: N Rana, Venue: MA Chidambaram Stadium, Chepauk, Chennai, Team1: Kolkata Knight Riders, Team2: Sunrisers Hyderabad, Toss Winner: Sunrisers Hyderabad, Toss Decision: field, Winner: Kolkata Knight Riders, Result: runs by 10.0 runs/wickets, Super Over: N, Umpires: KN Ananthapadmanabhan and Nitin Menon."
1254061.0,2021.0,Mumbai,12/04/2021,League,SV Samson,"Wankhede Stadium, Mumbai",Punjab Kings,Rajasthan Royals,Rajasthan Royals,field,Punjab Kings,runs,4.0,222.0,20.0,N,,AK Chaudhary,S Ravi,"Season: 2021.0, City: Mumbai, Date: 12/04/2021, Match Type: League, Player of the Match: SV Samson, Venue: Wankhede Stadium, Mumbai, Team1: Punjab Kings, Team2: Rajasthan Royals, Toss Winner: Rajasthan Royals, Toss Decision: field, Winner: Punjab Kings, Result: runs by 4.0 runs/wickets, Super Over: N, Umpires: AK Chaudhary and S Ravi."
1254062.0,2021.0,Chennai,13/04/2021,League,RD Chahar,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Mumbai Indians,runs,10.0,153.0,20.0,N,,C Shamshuddin,CB Gaffaney,"Season: 2021.0, City: Chennai, Date: 13/04/2021, Match Type: League, Player of the Match: RD Chahar, Venue: MA Chidambaram Stadium, Chepauk, Chennai, Team1: Mumbai Indians, Team2: Kolkata Knight Riders, Toss Winner: Kolkata Knight Riders, Toss Decision: field, Winner: Mumbai Indians, Result: runs by 10.0 runs/wickets, Super Over: N, Umpires: C Shamshuddin and CB Gaffaney."
1254063.0,2021.0,Chennai,14/04/2021,League,GJ Maxwell,"MA Chidambaram Stadium, Chepauk, Chennai",Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Royal Challengers Bangalore,runs,6.0,150.0,20.0,N,,Nitin Menon,UV Gandhe,"Season: 2021.0, City: Chennai, Date: 14/04/2021, Match Type: League, Player of the Match: GJ Maxwell, Venue: MA Chidambaram Stadium, Chepauk, Chennai, Team1: Royal Challengers Bangalore, Team2: Sunrisers Hyderabad, Toss Winner: Sunrisers Hyderabad, Toss Decision: field, Winner: Royal Challengers Bangalore, Result: runs by 6.0 runs/wickets, Super Over: N, Umpires: Nitin Menon and UV Gandhe."
1254064.0,2021.0,Mumbai,15/04/2021,League,JD Unadkat,"Wankhede Stadium, Mumbai",Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,3.0,148.0,20.0,N,,S Ravi,VK Sharma,"Season: 2021.0, City: Mumbai, Date: 15/04/2021, Match Type: League, Player of the Match: JD Unadkat, Venue: Wankhede Stadium, Mumbai, Team1: Delhi Capitals, Team2: Rajasthan Royals, Toss Winner: Rajasthan Royals, Toss Decision: field, Winner: Rajasthan Royals, Result: wickets by 3.0 runs/wickets, Super Over: N, Umpires: S Ravi and VK Sharma."
1254065.0,2021.0,Mumbai,16/04/2021,League,DL Chahar,"Wankhede Stadium, Mumbai",Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,6.0,107.0,20.0,N,,AK Chaudhary,AY Dandekar,"Season: 2021.0, City: Mumbai, Date: 16/04/2021, Match Type: League, Player of the Match: DL Chahar, Venue: Wankhede Stadium, Mumbai, Team1: Punjab Kings, Team2: Chennai Super Kings, Toss Winner: Chennai Super Kings, Toss Decision: field, Winner: Chennai Super Kings, Result: wickets by 6.0 runs/wickets, Super Over: N, Umpires: AK Chaudhary and AY Dandekar."
1254066.0,2021.0,Chennai,17/04/2021,League,KA Pollard,"MA Chidambaram Stadium, Chepauk, Chennai",Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,Mumbai Indians,runs,13.0,151.0,20.0,N,,CB Gaffaney,K Srinivasan,"Season: 2021.0, City: Chennai, Date: 17/04/2021, Match Type: League, Player of the Match: KA Pollard, Venue: MA Chidambaram Stadium, Chepauk, Chennai, Team1: Mumbai Indians, Team2: Sunrisers Hyderabad, Toss Winner: Mumbai Indians, Toss Decision: bat, Winner: Mumbai Indians, Result: runs by 13.0 runs/wickets, Super Over: N, Umpires: CB Gaffaney and K Srinivasan."
1254067.0,2021.0,Chennai,18/04/2021,League,AB de Villiers,"MA Chidambaram Stadium, Chepauk, Chennai",Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,runs,38.0,205.0,20.0,N,,C Shamshuddin,Nitin Menon,"Season: 2021.0, City: Chennai, Date: 18/04/2021, Match Type: League, Player of the Match: AB de Villiers, Venue: MA Chidambaram Stadium, Chepauk, Chennai, Team1: Royal Challengers Bangalore, Team2: Kolkata Knight Riders, Toss Winner: Royal Challengers Bangalore, Toss Decision: bat, Winner: Royal Challengers Bangalore, Result: runs by 38.0 runs/wickets, Super Over: N, Umpires: C Shamshuddin and Nitin Menon."
