id,season,city,date,match_type,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs,super_over,method,umpire1,umpire2
1304047,2022,Mumbai,26/03/2022,League,UT Yadav,"Wankhede Stadium, Mumbai",Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,6,132,20,N,NA,AK Chaudhary,Nitin Menon
1304048,2022,Mumbai,27/03/2022,League,Kuldeep Yadav,"Brabourne Stadium, Mumbai",Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,4,178,20,N,NA,RJ Tucker,HAS Khalid
1304049,2022,Mumbai,27/03/2022,League,OF Smith,"Dr DY Patil Sports Academy, Mumbai",Royal Challengers Bangalore,Punjab Kings,Punjab Kings,field,Punjab Kings,wickets,5,206,20,N,NA,Nitin Menon,YC Barde
1304050,2022,Mumbai,28/03/2022,League,Mohammed Shami,"Wankhede Stadium, Mumbai",Lucknow Super Giants,Gujarat Titans,Gujarat Titans,field,Gujarat Titans,wickets,5,159,20,N,NA,PG Pathak,VK Sharma
1304051,2022,Pune,29/03/2022,League,SV Samson,"Maharashtra Cricket Association Stadium, Pune",Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Rajasthan Royals,runs,61,211,20,N,NA,BNJ Oxenford,UV Gandhe
1304052,2022,Mumbai,30/03/2022,League,PWH de Silva,"Dr DY Patil Sports Academy, Mumbai",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,wickets,3,129,20,N,NA,J Madanagopal,Navdeep Singh
1304053,2022,Mumbai,31/03/2022,League,E Lewis,"Brabourne Stadium, Mumbai",Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,Lucknow Super Giants,wickets,6,211,20,N,NA,RJ Tucker,VK Sharma
1304054,2022,Mumbai,01/04/2022,League,UT Yadav,"Wankhede Stadium, Mumbai",Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,6,138,20,N,NA,AK Chaudhary,HAS Khalid
1304055,2022,Mumbai,02/04/2022,League,JC Buttler,"Dr DY Patil Sports Academy, Mumbai",Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Rajasthan Royals,runs,23,194,20,N,NA,Nitin Menon,PG Pathak
1304056,2022,Pune,02/04/2022,League,LH Ferguson,"Maharashtra Cricket Association Stadium, Pune",Gujarat Titans,Delhi Capitals,Delhi Capitals,field,Gujarat Titans,runs,14,172,20,N,NA,KN Ananthapadmanabhan,UV Gandhe
1304057,2022,Mumbai,03/04/2022,League,LS Livingstone,"Brabourne Stadium, Mumbai",Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,Punjab Kings,runs,54,181,20,N,NA,RJ Tucker,YC Barde
1304058,2022,Mumbai,04/04/2022,League,Avesh Khan,"Dr DY Patil Sports Academy, Mumbai",Lucknow Super Giants,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Lucknow Super Giants,runs,12,170,20,N,NA,J Madanagopal,Navdeep Singh
